[15:08:03]	INFO    | +	 Adding Model to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | + Loading Game Object "SCIFI_Damage_2"
[15:08:03]	INFO    | +	 Adding transform data to new gameObject
[15:08:03]	INFO    | +	 Adding Model to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | + Loading Game Object "SCIFI_Damage_3"
[15:08:03]	INFO    | +	 Adding transform data to new gameObject
[15:08:03]	INFO    | +	 Adding Model to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | + Loading Game Object "AmmoBox"
[15:08:03]	INFO    | +	 Adding transform data to new gameObject
[15:08:03]	INFO    | +	 Adding Model to new gameObject
[15:08:03]	INFO    | +		 Loading new OBJ file
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	SUCCESS | Opened file "Assets/Ammo/ammo-box.obj"
[15:08:03]	SUCCESS | Opened file "Assets/Ammo/ammo-box.mtl"
[15:08:04]	SUCCESS | Loaded texture "Assets/Ammo/Ammo_Box_color.png"
[15:08:04]	SUCCESS | Opened file "Assets/Ammo/ammo-box.mtl"
[15:08:04]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:04]	        |
[15:08:04]	        |------------------------------------------------------------------------
[15:08:04]	        |
[15:08:04]	INFO    | + Loading Game Object "AmmoBoxE"
[15:08:04]	INFO    | +	 Adding transform data to new gameObject
[15:08:04]	INFO    | + Loading Shaders "Resource/Shader/Particle.shad"
[15:08:04]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:08:04]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:08:04]	SUCCESS | Shader program ->	Successfully linked
[15:08:04]	        |
[15:08:04]	        |------------------------------------------------------------------------
[15:08:04]	        |
[15:08:04]	INFO    | +	 Adding Sprite to new gameObject
[15:08:04]	SUCCESS | Opened file "Assets/ammo_popup.mtl"
[15:08:04]	SUCCESS | Loaded texture "Assets/pickup_popup.png"
[15:08:04]	        |
[15:08:04]	        |------------------------------------------------------------------------
[15:08:04]	        |
[15:08:04]	INFO    | + Loading Game Object "AmmoBox1"
[15:08:04]	INFO    | +	 Adding transform data to new gameObject
[15:08:04]	INFO    | +	 Adding Model to new gameObject
[15:08:04]	        |
